Area,Ethnic group,Maori descent indicator,Sex,Year,Value,Flags
"Total, New Zealand by territorial authority/area unit","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",4242048,
"Total, New Zealand by territorial authority/area unit","European","Total people, Maori descent indicator","Total people, sex","2013",2969391,
"Total, New Zealand by territorial authority/area unit","Maori","Total people, Maori descent indicator","Total people, sex","2013",598605,
"Total, New Zealand by territorial authority/area unit","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",295941,
"Total, New Zealand by territorial authority/area unit","Asian","Total people, Maori descent indicator","Total people, sex","2013",471711,
"Northland Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",151689,
"Northland Region","European","Total people, Maori descent indicator","Total people, sex","2013",105057,
"Northland Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",44928,
"Northland Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",4461,
"Northland Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",3927,
"Auckland Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",1415550,
"Auckland Region","European","Total people, Maori descent indicator","Total people, sex","2013",789306,
"Auckland Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",142767,
"Auckland Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",194958,
"Auckland Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",307233,
"Waikato Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",403641,
"Waikato Region","European","Total people, Maori descent indicator","Total people, sex","2013",296097,
"Waikato Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",83742,
"Waikato Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",14700,
"Waikato Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",26382,
"Bay of Plenty Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",267744,
"Bay of Plenty Region","European","Total people, Maori descent indicator","Total people, sex","2013",189597,
"Bay of Plenty Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",68943,
"Bay of Plenty Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",7728,
"Bay of Plenty Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",12963,
"Gisborne Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",43656,
"Gisborne Region","European","Total people, Maori descent indicator","Total people, sex","2013",24504,
"Gisborne Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",19683,
"Gisborne Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",1539,
"Gisborne Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",975,
"Hawke's Bay Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",151179,
"Hawke's Bay Region","European","Total people, Maori descent indicator","Total people, sex","2013",110940,
"Hawke's Bay Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",34659,
"Hawke's Bay Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",6267,
"Hawke's Bay Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",5115,
"Taranaki Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",109608,
"Taranaki Region","European","Total people, Maori descent indicator","Total people, sex","2013",89802,
"Taranaki Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",18150,
"Taranaki Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",1701,
"Taranaki Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",3591,
"Manawatu-Wanganui Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",222672,
"Manawatu-Wanganui Region","European","Total people, Maori descent indicator","Total people, sex","2013",172101,
"Manawatu-Wanganui Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",43596,
"Manawatu-Wanganui Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",7341,
"Manawatu-Wanganui Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",10863,
"Wellington Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",471315,
"Wellington Region","European","Total people, Maori descent indicator","Total people, sex","2013",345180,
"Wellington Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",58338,
"Wellington Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",36105,
"Wellington Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",47235,
"Tasman Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",47154,
"Tasman Region","European","Total people, Maori descent indicator","Total people, sex","2013",42189,
"Tasman Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",3441,
"Tasman Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",480,
"Tasman Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",882,
"Nelson Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",46437,
"Nelson Region","European","Total people, Maori descent indicator","Total people, sex","2013",39720,
"Nelson Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",4164,
"Nelson Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",798,
"Nelson Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",1953,
"Marlborough Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",43416,
"Marlborough Region","European","Total people, Maori descent indicator","Total people, sex","2013",37041,
"Marlborough Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",4776,
"Marlborough Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",969,
"Marlborough Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",1182,
"West Coast Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",32148,
"West Coast Region","European","Total people, Maori descent indicator","Total people, sex","2013",27441,
"West Coast Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",3171,
"West Coast Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",315,
"West Coast Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",675,
"Canterbury Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",539436,
"Canterbury Region","European","Total people, Maori descent indicator","Total people, sex","2013",448650,
"Canterbury Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",41910,
"Canterbury Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",12720,
"Canterbury Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",35847,
"Otago Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",202470,
"Otago Region","European","Total people, Maori descent indicator","Total people, sex","2013",171615,
"Otago Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",14385,
"Otago Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",3933,
"Otago Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",10035,
"Southland Region","Total people, ethnic group","Total people, Maori descent indicator","Total people, sex","2013",93339,
"Southland Region","European","Total people, Maori descent indicator","Total people, sex","2013",79731,
"Southland Region","Maori","Total people, Maori descent indicator","Total people, sex","2013",11607,
"Southland Region","Pacific Peoples","Total people, Maori descent indicator","Total people, sex","2013",1914,
"Southland Region","Asian","Total people, Maori descent indicator","Total people, sex","2013",2838,
